Material Group,JDE code,Length,MS,Req,Order,30-Nov
Downlines,12M600MSDLDYNO,12,600,,0,
,15M600MSDLDYNO,15,600,1500,1081,419
,18M600MSDLDYNO,18,600,,0,
,24M600MSDLDYNO,24,600,,0,
Surface Delay,12M9MSSLDYNO,12m,9,0,0,
,12M17MSSLDYNO,12m,17,97,0,97
,12M25MSSLDYNO,12m,25,399,0,399
,12M42MSSLDYNO,12m,42,400,0,470
,12M67MSSLDYNO,12m,67,300,0,300
,12M109MSSLDYNO,12m,109,300,0,300
,15M109MSSLDYNO,15m,109,0,0,170
,Total,,,1496,0,
Lead in Line,300MSTLNDYNO,300m,LIL,20,8,12
Boosters,BOOST400SPADYNO,400G,Booster,1500,870,630
